Day;Treatment;Strain;Replicate;Count
3;WT;764;R1;78500000,00
3;WT;764;R2;85500000,00
3;WT;764;R3;40500000,00
3;WT;763;R1;400000000,00
3;WT;763;R2;580000000,00
3;WT;763;R3;390000000,00
3;WT;749;R1;0,00
3;WT;749;R2;0,00
3;WT;749;R3;0,00
3;WT;757;R1;0,00
3;WT;757;R2;0,00
3;WT;757;R3;0,00
3;WT;Bacillus;R1;19000000,00
3;WT;Bacillus;R2;8500000,00
3;WT;Bacillus;R3;14500000,00
3;Control;764;R1;19000000,00
3;Control;764;R2;75000000,00
3;Control;764;R3;81000000,00
3;Control;763;R1;99500000,00
3;Control;763;R2;280000000,00
3;Control;763;R3;190000000,00
3;Control;749;R1;0,00
3;Control;749;R2;0,00
3;Control;749;R3;0,00
3;Control;757;R1;0,00
3;Control;757;R2;0,00
3;Control;757;R3;0,00
3;Control;Bacillus;R1;0,00
3;Control;Bacillus;R2;0,00
3;Control;Bacillus;R3;0,00
3;sfp;764;R1;62500000,00
3;sfp;764;R2;40000000,00
3;sfp;764;R3;59500000,00
3;sfp;763;R1;445000000,00
3;sfp;763;R2;280000000,00
3;sfp;763;R3;275000000,00
3;sfp;749;R1;0,00
3;sfp;749;R2;0,00
3;sfp;749;R3;0,00
3;sfp;757;R1;0,00
3;sfp;757;R2;0,00
3;sfp;757;R3;0,00
3;sfp;Bacillus;R1;3000000,00
3;sfp;Bacillus;R2;4000000,00
3;sfp;Bacillus;R3;3000000,00
5;WT;764;R1;53500000,00
5;WT;764;R2;40500000,00
5;WT;764;R3;29000000,00
5;WT;763;R1;430000000,00
5;WT;763;R2;525000000,00
5;WT;763;R3;555000000,00
5;WT;749;R1;0,00
5;WT;749;R2;0,00
5;WT;749;R3;0,00
5;WT;757;R1;0,00
5;WT;757;R2;0,00
5;WT;757;R3;0,00
5;WT;Bacillus;R1;5600000,00
5;WT;Bacillus;R2;4450000,00
5;WT;Bacillus;R3;2950000,00
5;Control;764;R1;19500000,00
5;Control;764;R2;8400000,00
5;Control;764;R3;15000000,00
5;Control;763;R1;440000000,00
5;Control;763;R2;175000000,00
5;Control;763;R3;250000000,00
5;Control;749;R1;0,00
5;Control;749;R2;0,00
5;Control;749;R3;0,00
5;Control;757;R1;3150000,00
5;Control;757;R2;2850000,00
5;Control;757;R3;4450000,00
5;Control;Bacillus;R1;0,00
5;Control;Bacillus;R2;0,00
5;Control;Bacillus;R3;0,00
5;sfp;764;R1;15000000,00
5;sfp;764;R2;41000000,00
5;sfp;764;R3;33000000,00
5;sfp;763;R1;345000000,00
5;sfp;763;R2;1133799040,00
5;sfp;763;R3;210000000,00
5;sfp;749;R1;0,00
5;sfp;749;R2;0,00
5;sfp;749;R3;0,00
5;sfp;757;R1;0,00
5;sfp;757;R2;0,00
5;sfp;757;R3;0,00
5;sfp;Bacillus;R1;2200000,00
5;sfp;Bacillus;R2;900000,00
5;sfp;Bacillus;R3;1800000,00
8;WT;764;R1;29500000,00
8;WT;764;R2;30500000,00
8;WT;764;R3;38500000,00
8;WT;763;R1;180000000,00
8;WT;763;R2;460000000,00
8;WT;763;R3;520000000,00
8;WT;749;R1;0,00
8;WT;749;R2;0,00
8;WT;749;R3;0,00
8;WT;757;R1;0,00
8;WT;757;R2;0,00
8;WT;757;R3;0,00
8;WT;Bacillus;R1;2100000,00
8;WT;Bacillus;R2;2350000,00
8;WT;Bacillus;R3;1850000,00
8;Control;764;R1;56500000,00
8;Control;764;R2;79000000,00
8;Control;764;R3;38500000,00
8;Control;763;R1;440000000,00
8;Control;763;R2;390000000,00
8;Control;763;R3;91000000,00
8;Control;749;R1;36000000,00
8;Control;749;R2;80000000,00
8;Control;749;R3;180000000,00
8;Control;757;R1;26000000,00
8;Control;757;R2;8150000,00
8;Control;757;R3;1000000,00
8;Control;Bacillus;R1;0,00
8;Control;Bacillus;R2;0,00
8;Control;Bacillus;R3;0,00
8;sfp;764;R1;71000000,00
8;sfp;764;R2;48000000,00
8;sfp;764;R3;95000000,00
8;sfp;763;R1;325000000,00
8;sfp;763;R2;255000000,00
8;sfp;763;R3;560000000,00
8;sfp;749;R1;0,00
8;sfp;749;R2;0,00
8;sfp;749;R3;0,00
8;sfp;757;R1;0,00
8;sfp;757;R2;0,00
8;sfp;757;R3;0,00
8;sfp;Bacillus;R1;0,00
8;sfp;Bacillus;R2;0,00
8;sfp;Bacillus;R3;0,00
11;WT;764;R1;35000000,00
11;WT;764;R2;9000000,00
11;WT;764;R3;12000000,00
11;WT;763;R1;410000000,00
11;WT;763;R2;130000000,00
11;WT;763;R3;160000000,00
11;WT;749;R1;0,00
11;WT;749;R2;0,00
11;WT;749;R3;0,00
11;WT;757;R1;0,00
11;WT;757;R2;0,00
11;WT;757;R3;0,00
11;WT;Bacillus;R1;400000,00
11;WT;Bacillus;R2;200000,00
11;WT;Bacillus;R3;300000,00
11;Control;764;R1;11500000,00
11;Control;764;R2;9000000,00
11;Control;764;R3;25000000,00
11;Control;763;R1;270000000,00
11;Control;763;R2;130000000,00
11;Control;763;R3;320000000,00
11;Control;749;R1;90000000,00
11;Control;749;R2;22500000,00
11;Control;749;R3;11500000,00
11;Control;757;R1;600000,00
11;Control;757;R2;3600000,00
11;Control;757;R3;1800000,00
11;Control;Bacillus;R1;0,00
11;Control;Bacillus;R2;0,00
11;Control;Bacillus;R3;0,00
11;sfp;764;R1;16000000,00
11;sfp;764;R2;36000000,00
11;sfp;764;R3;15500000,00
11;sfp;763;R1;104000000,00
11;sfp;763;R2;530000000,00
11;sfp;763;R3;270000000,00
11;sfp;749;R1;22000000,00
11;sfp;749;R2;49000000,00
11;sfp;749;R3;43500000,00
11;sfp;757;R1;0,00
11;sfp;757;R2;0,00
11;sfp;757;R3;0,00
11;sfp;Bacillus;R1;0,00
11;sfp;Bacillus;R2;0,00
11;sfp;Bacillus;R3;0,00
